AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
10,68%,53,15,3,98,15,Barcelona,19/07/20,5,32%,38,17,15,108,10,Alavés,Round 38
9,71%,53,10,1,105,9,Betis,19/07/20,9,29%,34,17,8,95,12,Real Valladolid,Round 38
16,31%,42,9,15,115,18,Eibar,19/07/20,11,69%,45,4,9,121,11,Villarreal,Round 38
23,57%,47,9,13,136,10,Real Sociedad,19/07/20,22,43%,47,16,8,135,10,Atl. Madrid,Round 38
15,50%,55,11,16,159,19,Celta,19/07/20,16,50%,62,11,9,164,22,Espanyol,Round 38
21,64%,52,11,6,154,13,Athletic Club,19/07/20,25,36%,54,9,10,135,11,Granada,Round 38
11,65%,61,11,6,122,22,Real Madrid,19/07/20,7,35%,47,9,8,135,20,Leganés,Round 38
21,43%,57,11,10,168,19,Getafe,19/07/20,21,57%,57,10,12,160,10,Levante,Round 38
21,56%,67,10,7,140,14,Mallorca,19/07/20,14,44%,52,17,12,124,19,Osasuna,Round 38
17,38%,44,6,5,119,12,Valencia,19/07/20,20,62%,42,11,11,120,8,Sevilla,Round 38
25,50%,69,13,6,174,11,Real Valladolid,16/07/20,40,50%,73,19,8,152,16,Eibar,Round 37
17,39%,54,11,13,127,16,Leganés,16/07/20,21,61%,56,11,8,144,11,Athletic Club,Round 37
13,20%,41,14,19,106,16,Osasuna,16/07/20,16,80%,52,7,8,125,10,Barcelona,Round 37
11,43%,55,15,13,133,14,Levante,16/07/20,14,57%,59,11,6,141,24,Celta,Round 37
26,63%,66,11,12,174,18,Atl. Madrid,16/07/20,27,37%,59,14,14,172,19,Getafe,Round 37
27,47%,67,18,10,134,14,Granada,16/07/20,20,53%,56,14,13,138,9,Mallorca,Round 37
20,27%,51,18,3,106,13,Alavés,16/07/20,21,73%,58,14,2,123,12,Betis,Round 37
7,43%,31,13,11,99,11,Villarreal,16/07/20,10,57%,49,13,5,103,13,Real Madrid,Round 37
27,62%,67,13,11,147,18,Sevilla,16/07/20,25,38%,63,16,16,139,15,Real Sociedad,Round 37
15,52%,47,18,8,118,13,Espanyol,16/07/20,11,48%,50,9,9,109,13,Valencia,Round 37
25,47%,51,11,7,164,14,Celta,11/7/2020,32,53%,66,10,13,175,19,Osasuna,Round 36
16,65%,53,13,13,121,14,Barcelona,11/7/2020,5,35%,40,15,11,117,8,Real Valladolid,Round 36
15,62%,49,10,7,134,13,Betis,11/7/2020,17,38%,50,10,16,119,19,Atl. Madrid,Round 36
22,28%,52,14,9,122,16,Eibar,12/7/2020,37,72%,61,13,5,155,7,Espanyol,Round 36
20,44%,50,14,9,143,12,Athletic Club,12/7/2020,10,56%,48,11,8,130,14,Levante,Round 36
9,68%,45,9,5,128,8,Valencia,12/7/2020,12,32%,35,21,10,109,8,Leganés,Round 36
19,37%,52,7,16,134,9,Mallorca,12/7/2020,13,63%,47,14,10,130,20,Sevilla,Round 36
25,54%,78,15,12,201,28,Getafe,13/07/20,37,46%,65,26,9,198,13,Alavés,Round 36
18,48%,56,11,7,128,20,Real Sociedad,13/07/20,11,52%,40,12,9,130,12,Villarreal,Round 36
11,62%,51,18,8,95,12,Real Madrid,13/07/20,10,38%,49,18,11,102,17,Granada,Round 36
4,41%,37,5,16,118,17,Real Valladolid,7/7/2020,14,59%,43,9,8,132,10,Valencia,Round 35
16,49%,56,13,10,131,19,Atl. Madrid,7/7/2020,14,51%,43,14,14,135,12,Celta,Round 35
26,59%,76,10,11,175,17,Villarreal,8/7/2020,14,41%,60,19,11,178,21,Getafe,Round 35
24,43%,59,17,15,176,18,Osasuna,8/7/2020,21,57%,59,9,13,168,13,Betis,Round 35
15,26%,40,12,11,109,14,Espanyol,8/7/2020,13,74%,45,8,5,111,10,Barcelona,Round 35
47,41%,78,13,13,197,8,Leganés,9/7/2020,43,59%,74,21,9,202,14,Eibar,Round 35
10,54%,45,20,10,135,17,Levante,9/7/2020,16,46%,63,11,8,120,13,Mallorca,Round 35
26,67%,63,9,2,130,8,Sevilla,9/7/2020,21,33%,47,18,9,131,5,Athletic Club,Round 35
22,31%,52,13,12,155,13,Granada,10/7/2020,37,69%,74,12,10,158,13,Real Sociedad,Round 35
16,29%,41,17,9,111,12,Alavés,10/7/2020,6,71%,54,5,5,111,9,Real Madrid,Round 35
14,51%,63,11,9,144,20,Mallorca,3/7/2020,11,49%,50,14,12,127,24,Atl. Madrid,Round 34
22,55%,56,18,6,132,8,Betis,4/7/2020,14,45%,47,20,10,126,11,Celta,Round 34
30,47%,59,17,5,157,8,Alavés,4/7/2020,29,53%,67,13,4,148,15,Real Valladolid,Round 34
23,46%,61,14,6,144,14,Valencia,4/7/2020,30,54%,66,18,7,146,15,Granada,Round 34
8,56%,45,8,11,131,13,Real Madrid,5/7/2020,17,44%,58,13,6,130,21,Athletic Club,Round 34
