AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
11,40%,52,14,16,118,16,Girona,25/11/18,9,60%,36,16,7,144,13,Espanyol,Round 13
7,64%,49,13,13,101,10,Betis,25/11/18,9,36%,50,15,8,93,21,Villarreal,Round 13
9,52%,45,14,7,118,19,Celta,26/11/18,14,48%,50,12,11,132,14,Real Sociedad,Round 13
9,53%,56,12,13,132,15,Real Sociedad,9/11/2018,12,47%,58,17,12,138,22,Levante,Round 12
20,50%,64,15,17,152,18,Eibar,10/11/2018,16,50%,50,16,6,161,16,Real Valladolid,Round 12
17,63%,57,8,6,152,15,Valencia,10/11/2018,19,37%,41,23,7,152,8,Getafe,Round 12
26,49%,47,15,19,146,11,Athletic Club,10/11/2018,15,51%,55,8,13,152,21,Atl. Madrid,Round 12
37,41%,67,13,16,156,16,Leganés,10/11/2018,22,59%,47,13,9,153,11,Girona,Round 12
23,50%,73,13,6,158,20,Huesca,11/11/2018,34,50%,71,20,10,163,18,Alavés,Round 12
11,46%,53,11,17,116,17,Betis,11/11/2018,12,54%,46,13,16,118,15,Barcelona,Round 12
10,42%,50,12,18,126,21,Villarreal,11/11/2018,15,58%,56,7,11,147,11,Rayo Vallecano,Round 12
14,49%,59,10,9,128,21,Espanyol,11/11/2018,13,51%,45,18,11,131,14,Sevilla,Round 12
15,49%,52,13,10,109,12,Real Madrid,11/11/2018,9,51%,48,19,15,115,17,Celta,Round 12
27,55%,75,12,7,163,23,Atl. Madrid,3/11/2018,33,45%,71,18,8,173,18,Leganés,Round 11
14,42%,53,7,6,126,18,Real Valladolid,3/11/2018,23,58%,58,14,9,126,19,Real Madrid,Round 11
11,47%,51,13,14,129,14,Girona,3/11/2018,24,53%,57,14,13,138,12,Valencia,Round 11
12,70%,64,11,7,128,23,Barcelona,3/11/2018,5,30%,39,23,13,136,10,Rayo Vallecano,Round 11
25,28%,65,7,14,135,21,Alavés,4/11/2018,28,72%,62,11,8,167,16,Eibar,Round 11
16,42%,51,10,9,148,12,Levante,4/11/2018,15,58%,63,14,19,153,34,Villarreal,Round 11
37,47%,70,13,14,176,11,Getafe,4/11/2018,26,53%,62,18,7,178,17,Huesca,Round 11
13,49%,51,17,11,138,21,Sevilla,4/11/2018,14,51%,59,8,7,141,16,Real Sociedad,Round 11
8,41%,44,11,10,125,18,Celta,4/11/2018,15,59%,52,12,11,122,20,Betis,Round 11
16,59%,58,13,16,144,20,Athletic Club,5/11/2018,13,41%,55,15,16,133,16,Espanyol,Round 11
14,45%,61,16,12,135,25,Espanyol,26/10/18,12,55%,50,16,11,136,14,Real Valladolid,Round 10
13,56%,56,16,5,141,15,Rayo Vallecano,27/10/18,18,44%,64,11,16,119,17,Girona,Round 10
24,47%,68,22,6,140,14,Valencia,27/10/18,29,53%,67,25,11,143,13,Athletic Club,Round 10
25,61%,57,8,7,176,17,Eibar,27/10/18,21,39%,60,9,14,168,21,Celta,Round 10
15,58%,59,14,7,157,26,Leganés,27/10/18,12,42%,47,12,14,165,15,Levante,Round 10
16,39%,43,7,8,157,15,Real Sociedad,27/10/18,20,61%,61,10,19,157,24,Atl. Madrid,Round 10
20,70%,64,14,8,138,23,Betis,28/10/18,24,30%,67,9,11,141,20,Getafe,Round 10
7,47%,49,14,12,111,19,Real Madrid,28/10/18,9,53%,43,17,15,111,13,Barcelona,Round 10
18,53%,48,11,12,174,13,Villarreal,28/10/18,23,47%,57,11,12,163,16,Alavés,Round 10
20,38%,49,14,14,139,14,Huesca,28/10/18,22,62%,52,9,9,142,14,Sevilla,Round 10
14,39%,42,12,11,148,18,Alavés,19/10/18,25,61%,66,9,10,150,14,Celta,Round 9
7,30%,44,19,20,122,15,Levante,20/10/18,15,70%,69,10,11,138,21,Real Madrid,Round 9
17,42%,47,13,13,131,16,Leganés,20/10/18,11,58%,46,9,10,148,12,Valencia,Round 9
21,47%,62,9,9,139,16,Atl. Madrid,20/10/18,21,53%,51,16,11,131,18,Villarreal,Round 9
11,47%,41,16,8,130,17,Sevilla,20/10/18,16,53%,49,10,9,105,14,Barcelona,Round 9
22,35%,62,25,8,141,24,Getafe,21/10/18,16,65%,74,14,4,162,23,Rayo Vallecano,Round 9
15,40%,37,13,11,167,13,Athletic Club,21/10/18,26,60%,67,7,12,194,15,Eibar,Round 9
14,47%,71,14,8,133,27,Espanyol,21/10/18,12,53%,58,21,13,152,17,Huesca,Round 9
13,37%,49,10,10,130,21,Real Valladolid,21/10/18,13,63%,52,7,19,135,12,Betis,Round 9
23,46%,67,15,8,147,24,Girona,22/10/18,24,54%,63,14,6,145,17,Real Sociedad,Round 9
24,31%,71,19,18,119,24,Real Sociedad,5/10/2018,28,69%,62,15,6,162,9,Athletic Club,Round 8
22,48%,49,17,12,173,16,Eibar,6/10/2018,37,52%,74,9,13,166,16,Girona,Round 8
21,46%,65,18,11,149,20,Levante,6/10/2018,15,54%,62,17,10,169,21,Getafe,Round 8
20,70%,54,10,10,127,12,Real Madrid,6/10/2018,20,30%,48,20,9,137,18,Alavés,Round 8
9,65%,40,12,6,140,14,Rayo Vallecano,6/10/2018,18,35%,46,12,14,127,15,Leganés,Round 8
27,58%,55,13,7,142,18,Huesca,7/10/2018,17,42%,45,9,4,141,15,Real Valladolid,Round 8
7,64%,47,10,13,131,19,Betis,7/10/2018,13,36%,49,16,8,129,22,Atl. Madrid,Round 8
9,45%,47,8,6,123,18,Villarreal,7/10/2018,6,55%,42,13,10,120,19,Espanyol,Round 8
17,48%,52,9,11,122,15,Celta,7/10/2018,22,52%,49,14,6,129,16,Sevilla,Round 8
8,76%,36,6,15,130,9,Barcelona,7/10/2018,8,24%,32,11,16,105,15,Valencia,Round 8
8,48%,48,16,10,143,21,Espanyol,28/09/18,10,52%,61,13,3,144,23,Rayo Vallecano,Round 7
6,46%,44,18,14,139,19,Valencia,29/09/18,14,54%,58,13,11,154,15,Real Sociedad,Round 7
15,30%,45,18,10,149,20,Athletic Club,29/09/18,19,70%,65,9,12,151,17,Barcelona,Round 7
25,37%,64,9,9,152,21,Sevilla,29/09/18,25,63%,55,16,10,177,14,Eibar,Round 7
8,35%,41,17,12,122,19,Atl. Madrid,29/09/18,17,65%,56,7,9,129,14,Real Madrid,Round 7
20,48%,57,14,17,134,20,Girona,30/09/18,21,52%,56,14,17,132,19,Huesca,Round 7
9,39%,50,12,17,119,19,Real Valladolid,30/09/18,24,61%,56,17,10,133,14,Villarreal,Round 7
20,53%,62,19,9,137,17,Alavés,30/09/18,19,47%,54,22,10,140,11,Levante,Round 7
27,18%,56,10,14,116,20,Leganés,30/09/18,17,82%,40,7,5,140,11,Betis,Round 7
31,48%,58,15,19,174,13,Getafe,1/10/2018,35,52%,66,13,3,158,20,Celta,Round 7
17,54%,49,8,10,179,15,Eibar,25/09/18,31,46%,69,9,15,155,22,Espanyol,Round 6
14,44%,49,18,12,129,13,Rayo Vallecano,25/09/18,22,56%,69,12,16,128,26,Real Sociedad,Round 6
8,42%,35,14,18,111,17,Huesca,25/09/18,7,58%,55,1,12,103,15,Atl. Madrid,Round 6
11,34%,45,14,6,120,22,Villarreal,26/09/18,18,66%,49,3,16,140,10,Athletic Club,Round 6
14,78%,48,11,6,125,13,Barcelona,26/09/18,10,22%,49,15,15,112,18,Leganés,Round 6
15,60%,54,12,13,97,14,Real Madrid,26/09/18,10,40%,36,16,12,97,10,Sevilla,Round 6
12,64%,46,7,11,125,8,Celta,26/09/18,10,36%,37,18,11,106,13,Valencia,Round 6
38,52%,69,22,11,175,16,Getafe,27/09/18,42,48%,85,9,16,172,9,Alavés,Round 6
15,36%,53,10,12,118,15,Levante,27/09/18,8,64%,49,17,10,120,21,Real Valladolid,Round 6
13,65%,52,14,11,119,13,Betis,27/09/18,12,35%,38,18,12,114,8,Girona,Round 6
28,53%,76,12,8,136,22,Real Sociedad,21/09/18,26,47%,59,16,9,152,17,Huesca,Round 5
11,49%,45,12,9,121,18,Alavés,22/09/18,13,51%,50,14,8,129,13,Rayo Vallecano,Round 5
13,54%,53,11,8,137,24,Real Valladolid,22/09/18,20,46%,54,9,13,133,16,Celta,Round 5
47,44%,81,17,11,196,18,Leganés,22/09/18,36,56%,71,16,4,202,12,Eibar,Round 5
18,59%,58,15,13,159,17,Atl. Madrid,22/09/18,11,41%,47,12,16,150,18,Getafe,Round 5
9,36%,38,16,11,118,17,Espanyol,22/09/18,5,64%,50,5,15,135,20,Real Madrid,Round 5
10,52%,33,18,9,94,11,Sevilla,23/09/18,7,48%,43,5,14,107,9,Levante,Round 5
6,45%,46,12,7,123,19,Valencia,23/09/18,8,55%,41,12,11,128,18,Villarreal,Round 5
10,29%,35,20,13,104,11,Athletic Club,23/09/18,11,71%,53,13,6,128,9,Betis,Round 5
6,33%,43,16,18,105,20,Girona,23/09/18,10,67%,43,9,6,106,9,Barcelona,Round 5
13,47%,50,18,14,129,16,Rayo Vallecano,14/09/18,19,53%,58,16,9,157,15,Huesca,Round 4
22,44%,55,21,13,158,26,Eibar,15/09/18,30,56%,73,5,16,194,10,Atl. Madrid,Round 4
14,70%,61,8,14,130,17,Barcelona,15/09/18,10,30%,42,18,25,121,22,Real Sociedad,Round 4
8,61%,55,9,12,102,17,Betis,15/09/18,16,39%,44,22,11,120,10,Valencia,Round 4
12,61%,52,7,6,124,12,Real Madrid,15/09/18,14,39%,48,19,18,108,16,Athletic Club,Round 4
15,54%,42,9,7,110,7,Villarreal,16/09/18,19,46%,51,16,10,116,14,Leganés,Round 4
13,43%,46,13,15,119,9,Levante,16/09/18,14,57%,49,17,9,112,16,Espanyol,Round 4
21,42%,51,12,10,130,18,Alavés,16/09/18,22,58%,55,9,11,133,9,Real Valladolid,Round 4
17,30%,47,22,15,141,15,Getafe,16/09/18,17,70%,71,10,8,172,24,Sevilla,Round 4
26,67%,63,11,8,123,9,Celta,17/09/18,17,33%,59,15,10,115,24,Girona,Round 4
13,47%,61,14,12,171,25,Real Valladolid,31/08/18,28,53%,66,22,14,185,15,Getafe,Round 3
35,42%,81,15,17,179,19,Real Sociedad,31/08/18,43,58%,66,17,6,215,11,Eibar,Round 3
14,35%,50,11,15,122,13,Girona,31/08/18,14,65%,47,16,11,129,19,Villarreal,Round 3
17,51%,49,14,5,133,17,Atl. Madrid,1/9/2018,20,49%,53,12,10,118,8,Celta,Round 3
16,23%,40,11,12,112,11,Leganés,1/9/2018,19,77%,59,11,7,125,16,Real Madrid,Round 3
11,55%,44,10,12,131,15,Valencia,2/9/2018,10,45%,45,14,14,133,17,Levante,Round 3
15,64%,50,13,9,153,10,Espanyol,2/9/2018,16,36%,52,19,7,123,15,Alavés,Round 3
5,32%,28,12,13,99,16,Huesca,2/9/2018,7,68%,48,6,11,89,16,Barcelona,Round 3
19,38%,59,17,6,132,19,Sevilla,2/9/2018,14,62%,53,15,5,128,14,Betis,Round 3
20,67%,70,9,5,152,28,Athletic Club,24/10/18,10,33%,48,14,16,149,11,Rayo Vallecano,Round 3
26,65%,63,11,11,205,17,Eibar,24/08/18,22,35%,46,14,15,174,9,Getafe,Round 2
33,34%,67,9,14,139,16,Real Sociedad,24/08/18,29,66%,55,12,9,168,10,Leganés,Round 2
24,67%,61,15,4,134,10,Betis,25/08/18,6,33%,46,17,6,121,19,Alavés,Round 2
4,54%,46,8,16,152,21,Rayo Vallecano,25/08/18,13,46%,61,7,14,150,31,Atl. Madrid,Round 2
12,65%,43,11,6,150,9,Barcelona,25/08/18,9,35%,45,13,14,126,23,Real Valladolid,Round 2
6,52%,47,12,12,131,20,Valencia,26/08/18,14,48%,52,16,13,129,17,Espanyol,Round 2
12,67%,47,11,9,113,12,Real Madrid,26/08/18,13,33%,41,13,16,120,13,Girona,Round 2
14,48%,53,14,11,105,21,Villarreal,26/08/18,11,52%,45,13,7,128,13,Sevilla,Round 2
23,46%,67,8,11,122,23,Celta,27/08/18,9,54%,43,14,4,151,20,Levante,Round 2
17,41%,52,16,12,139,12,Huesca,27/08/18,25,59%,66,15,16,130,19,Athletic Club,Round 2
21,33%,71,20,10,143,27,Real Valladolid,17/08/18,35,67%,82,21,13,159,12,Girona,Round 1
10,23%,46,10,10,126,14,Levante,17/08/18,16,77%,68,10,9,130,25,Betis,Round 1
9,52%,54,14,13,138,25,Espanyol,18/08/18,16,48%,50,13,16,150,9,Celta,Round 1
19,48%,52,10,19,131,11,Real Sociedad,18/08/18,17,52%,47,16,5,135,14,Villarreal,Round 1
2,22%,33,13,15,105,22,Alavés,18/08/18,14,78%,45,6,6,129,7,Barcelona,Round 1
22,32%,61,13,16,131,20,Huesca,19/08/18,23,68%,60,12,6,175,18,Eibar,Round 1
10,52%,41,15,5,115,15,Sevilla,19/08/18,14,48%,45,6,8,118,13,Rayo Vallecano,Round 1
8,23%,45,28,9,119,19,Getafe,19/08/18,11,77%,73,11,10,128,20,Real Madrid,Round 1
17,49%,64,15,8,146,26,Atl. Madrid,20/08/18,19,51%,55,10,12,134,17,Valencia,Round 1
30,34%,65,13,9,126,14,Leganés,20/08/18,26,66%,54,12,7,138,10,Athletic Club,Round 1
