Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 8,17/10/14,Granada,0,4,0,0,Rayo Vallecano,1,5,0,0,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",16415
Round 8,18/10/14,Levante,0,4,0,0,Real Madrid,5,0,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Ciudad de Valencia,"Valencia, Spain",23506
Round 8,18/10/14,Athletic Club,1,3,0,0,Celta,1,2,0,0,David Fernandez Borbalan,5.63,0.31,San Mamés,"Bilbao, Spain",47000
Round 8,18/10/14,Barcelona,3,2,0,0,Eibar,0,2,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Spotify Camp Nou,"Barcelona, Spain",75546
Round 8,18/10/14,Córdoba,1,2,0,0,Málaga,2,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Nuevo Arcángel,"Cordoba, Spain",16615
Round 8,19/10/14,Atl. Madrid,2,0,0,0,Espanyol,0,0,0,0,Inaki Vicandi Garrido,4.39,0.32,Vicente Calderón,"Madrid, Spain",54069
Round 8,19/10/14,Deportivo,3,4,0,0,Valencia,0,4,0,0,Javier Estrada Fernandez,5.38,0.25,Riazor,"La Coruna, Spain",21908
Round 8,19/10/14,Elche,0,5,0,0,Sevilla,2,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Estadio Martínez Valero,"Elche, Spain",26059
Round 8,19/10/14,Villarreal,2,5,0,0,Almería,0,2,0,0,Carlos Clos Gomez,5.33,0.3,Estadio de la Ceramica,"Villarreal, Spain",17000
Round 8,20/10/14,Real Sociedad,1,1,0,0,Getafe,2,4,0,0,Pedro Jesus Perez Montero,5.26,0.25,Reale Arena,"San Sebastian, Spain",19098
Round 7,03/10/14,Getafe,1,1,0,0,Córdoba,1,2,0,0,Juan Martinez Munuera,4.9,0.19,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 7,04/10/14,Valencia,3,4,0,0,Atl. Madrid,1,1,0,1,Fernando Teixeira Vitienes,5.79,0.44,Mestalla,"Valencia, Spain",44000
Round 7,04/10/14,Rayo Vallecano,0,4,0,2,Barcelona,2,2,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio de Vallecas,"Madrid, Spain",14071
Round 7,04/10/14,Eibar,3,3,0,0,Levante,3,1,0,0,Alberto Undiano,4.53,0.14,Ipurua Municipal Stadium,"Eibar, Spain",4265
Round 7,04/10/14,Almería,2,2,0,0,Elche,2,5,0,1,Carlos Del Cerro Grande,4.81,0.22,Estadio del Mediterráneo,"Almeria, Spain",9833
Round 7,04/10/14,Málaga,2,1,1,0,Granada,1,4,0,0,Carlos Velasco Carballo,5.42,0.29,La Rosaleda,"Malaga, Spain",20700
Round 7,05/10/14,Sevilla,4,2,0,0,Deportivo,1,2,0,0,Jesus Gil Manzano,5.27,0.26,Ramón Sánchez Pizjuán,"Seville, Spain",33356
Round 7,05/10/14,Celta,1,4,0,1,Villarreal,3,4,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Municipal de Balaidos,"Vigo, Spain",22242
Round 7,05/10/14,Espanyol,2,6,0,0,Real Sociedad,0,2,0,0,Mario Melero Lopez,5.55,0.21,RCDE Stadium,"Cornella, Spain",18326
Round 7,05/10/14,Real Madrid,5,1,0,0,Athletic Club,0,2,0,0,Alejandro Hernandez,5.51,0.27,Santiago Bernabéu,"Madrid, Spain",77987
Round 6,26/09/14,Elche,0,4,0,0,Celta,1,2,0,0,Pedro Jesus Perez Montero,5.26,0.25,Estadio Martínez Valero,"Elche, Spain",20852
Round 6,27/09/14,Villarreal,0,0,0,0,Real Madrid,2,1,0,0,Alberto Undiano,4.53,0.14,Estadio de la Ceramica,"Villarreal, Spain",22146
Round 6,27/09/14,Barcelona,6,1,0,0,Granada,0,3,0,0,Juan Martinez Munuera,4.9,0.19,Spotify Camp Nou,"Barcelona, Spain",72596
Round 6,27/09/14,Atl. Madrid,4,4,0,0,Sevilla,0,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Vicente Calderón,"Madrid, Spain",54000
Round 6,27/09/14,Athletic Club,0,4,0,0,Eibar,0,6,0,0,Carlos Velasco Carballo,5.42,0.29,San Mamés,"Bilbao, Spain",48000
