Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 37,16/07/20,Eibar,3.0,4.0,0.0,0.0,Real Valladolid,1.0,0.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Ipurua Municipal Stadium,"Eibar, Spain",
Round 37,16/07/20,Athletic Club,0.0,2.0,1.0,0.0,Leganés,2.0,3.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",
Round 37,16/07/20,Barcelona,1.0,4.0,0.0,0.0,Osasuna,2.0,1.0,1.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Spotify Camp Nou,"Barcelona, Spain",
Round 37,16/07/20,Celta,2.0,2.0,0.0,1.0,Levante,3.0,0.0,1.0,0.0,José Luis Munuera Montero,4.75,0.37,Municipal de Balaidos,"Vigo, Spain",
Round 37,16/07/20,Getafe,0.0,1.0,1.0,0.0,Atl. Madrid,2.0,2.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 37,16/07/20,Mallorca,1.0,6.0,1.0,1.0,Granada,2.0,5.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Estadi de Son Moix,"Palma, Spain",
Round 37,16/07/20,Betis,1.0,6.0,1.0,0.0,Alavés,2.0,4.0,1.0,0.0,David Medie Jimenez,4.94,0.31,Benito Villamarin,"Seville, Spain",
Round 37,16/07/20,Real Madrid,2.0,3.0,0.0,0.0,Villarreal,1.0,2.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 37,16/07/20,Real Sociedad,0.0,1.0,0.0,0.0,Sevilla,0.0,2.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",
Round 37,16/07/20,Valencia,1.0,2.0,1.0,0.0,Espanyol,0.0,4.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Mestalla,"Valencia, Spain",
Round 36,11/7/2020,Osasuna,2.0,2.0,0.0,0.0,Celta,1.0,2.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,Estadio El Sadar,"Pamplona, Spain",
Round 36,11/7/2020,Real Valladolid,0.0,2.0,0.0,0.0,Barcelona,1.0,2.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,José Zorrilla,"Valladolid, Spain",
Round 36,11/7/2020,Atl. Madrid,1.0,1.0,1.0,0.0,Betis,0.0,3.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Cívitas Metropolitano,"Madrid, Spain",
Round 36,12/7/2020,Espanyol,0.0,2.0,0.0,0.0,Eibar,2.0,2.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,RCDE Stadium,"Cornella, Spain",
Round 36,12/7/2020,Levante,1.0,0.0,0.0,0.0,Athletic Club,2.0,1.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,Estadio Camilo Cano,"La Nucía, Spain",
Round 36,12/7/2020,Leganés,1.0,4.0,1.0,0.0,Valencia,0.0,1.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadio Municipal de Butarque,"Leganes, Spain",
Round 36,12/7/2020,Sevilla,2.0,3.0,0.0,0.0,Mallorca,0.0,2.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 36,13/07/20,Alavés,0.0,4.0,0.0,0.0,Getafe,0.0,2.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 36,13/07/20,Villarreal,1.0,2.0,0.0,0.0,Real Sociedad,2.0,2.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio de la Ceramica,"Villarreal, Spain",
Round 36,13/07/20,Granada,1.0,2.0,0.0,0.0,Real Madrid,2.0,2.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 35,7/7/2020,Valencia,2.0,3.0,0.0,0.0,Real Valladolid,1.0,0.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Mestalla,"Valencia, Spain",
Round 35,7/7/2020,Celta,1.0,4.0,0.0,0.0,Atl. Madrid,1.0,3.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Municipal de Balaidos,"Vigo, Spain",
Round 35,8/7/2020,Getafe,1.0,4.0,3.0,0.0,Villarreal,3.0,1.0,1.0,0.0,Javier Estrada Fernandez,5.38,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 35,8/7/2020,Betis,3.0,1.0,0.0,0.0,Osasuna,0.0,5.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Benito Villamarin,"Seville, Spain",
Round 35,8/7/2020,Barcelona,1.0,0.0,1.0,0.0,Espanyol,0.0,3.0,1.0,0.0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",
Round 35,9/7/2020,Eibar,0.0,3.0,0.0,0.0,Leganés,0.0,3.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Ipurua Municipal Stadium,"Eibar, Spain",
Round 35,9/7/2020,Mallorca,2.0,3.0,0.0,0.0,Levante,0.0,1.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Estadi de Son Moix,"Palma, Spain",
Round 35,9/7/2020,Athletic Club,1.0,3.0,0.0,0.0,Sevilla,2.0,2.0,0.0,0.0,David Medie Jimenez,4.94,0.31,San Mamés,"Bilbao, Spain",
Round 35,10/7/2020,Real Sociedad,2.0,2.0,0.0,0.0,Granada,3.0,3.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",
Round 35,10/7/2020,Real Madrid,2.0,0.0,0.0,0.0,Alavés,0.0,1.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 34,3/7/2020,Atl. Madrid,3.0,2.0,0.0,0.0,Mallorca,0.0,1.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,Cívitas Metropolitano,"Madrid, Spain",
Round 34,4/7/2020,Celta,1.0,5.0,0.0,0.0,Betis,1.0,4.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Municipal de Balaidos,"Vigo, Spain",
Round 34,4/7/2020,Real Valladolid,1.0,3.0,0.0,0.0,Alavés,0.0,2.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,José Zorrilla,"Valladolid, Spain",
Round 34,4/7/2020,Granada,2.0,2.0,0.0,0.0,Valencia,2.0,2.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 34,5/7/2020,Athletic Club,0.0,4.0,0.0,0.0,Real Madrid,1.0,3.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,San Mamés,"Bilbao, Spain",
Round 34,5/7/2020,Espanyol,0.0,3.0,0.0,1.0,Leganés,1.0,3.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,RCDE Stadium,"Cornella, Spain",
Round 34,5/7/2020,Osasuna,0.0,5.0,0.0,0.0,Getafe,0.0,4.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadio El Sadar,"Pamplona, Spain",
Round 34,5/7/2020,Villarreal,1.0,1.0,0.0,0.0,Barcelona,4.0,0.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Estadio de la Ceramica,"Villarreal, Spain",
Round 34,6/7/2020,Levante,1.0,3.0,0.0,0.0,Real Sociedad,1.0,2.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,Estadio Camilo Cano,"La Nucía, Spain",
Round 34,6/7/2020,Sevilla,1.0,2.0,0.0,0.0,Eibar,0.0,1.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 33,30/06/20,Mallorca,5.0,3.0,0.0,0.0,Celta,1.0,3.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadi de Son Moix,"Palma, Spain",
Round 33,30/06/20,Leganés,0.0,4.0,0.0,0.0,Sevilla,3.0,3.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Estadio Municipal de Butarque,"Leganes, Spain",
Round 33,30/06/20,Barcelona,2.0,3.0,0.0,0.0,Atl. Madrid,2.0,5.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",
Round 33,1/7/2020,Alavés,0.0,3.0,0.0,0.0,Granada,2.0,2.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 33,1/7/2020,Valencia,0.0,1.0,0.0,0.0,Athletic Club,2.0,0.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Mestalla,"Valencia, Spain",
Round 33,1/7/2020,Betis,0.0,3.0,0.0,1.0,Villarreal,2.0,1.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,Benito Villamarin,"Seville, Spain",
Round 33,1/7/2020,Real Valladolid,0.0,2.0,0.0,0.0,Levante,0.0,1.0,0.0,0.0,David Medie Jimenez,4.94,0.31,José Zorrilla,"Valladolid, Spain",
Round 33,2/7/2020,Eibar,0.0,1.0,0.0,0.0,Osasuna,2.0,1.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,Ipurua Municipal Stadium,"Eibar, Spain",
Round 33,2/7/2020,Real Sociedad,2.0,2.0,0.0,0.0,Espanyol,1.0,1.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Reale Arena,"San Sebastian, Spain",
Round 33,2/7/2020,Real Madrid,1.0,5.0,0.0,0.0,Getafe,0.0,5.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 32,26/06/20,Sevilla,1.0,3.0,0.0,0.0,Real Valladolid,1.0,2.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 32,27/06/20,Athletic Club,3.0,1.0,0.0,0.0,Mallorca,1.0,2.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,San Mamés,"Bilbao, Spain",
Round 32,27/06/20,Celta,2.0,3.0,0.0,0.0,Barcelona,2.0,4.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Municipal de Balaidos,"Vigo, Spain",
Round 32,27/06/20,Osasuna,2.0,1.0,0.0,0.0,Leganés,1.0,1.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,Estadio El Sadar,"Pamplona, Spain",
Round 32,27/06/20,Atl. Madrid,2.0,3.0,0.0,0.0,Alavés,1.0,2.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Cívitas Metropolitano,"Madrid, Spain",
Round 32,28/06/20,Levante,4.0,0.0,0.0,0.0,Betis,2.0,4.0,0.0,0.0,Santiago Jaime Latre,5.58,0.22,Estadio Camilo Cano,"La Nucía, Spain",
Round 32,28/06/20,Villarreal,2.0,0.0,0.0,0.0,Valencia,0.0,2.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de la Ceramica,"Villarreal, Spain",
Round 32,28/06/20,Granada,1.0,1.0,0.0,0.0,Eibar,2.0,0.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 32,28/06/20,Espanyol,0.0,1.0,0.0,0.0,Real Madrid,1.0,1.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,RCDE Stadium,"Cornella, Spain",
Round 32,29/06/20,Getafe,2.0,6.0,0.0,0.0,Real Sociedad,1.0,3.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 31,22/06/20,Villarreal,2.0,3.0,0.0,0.0,Sevilla,2.0,3.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio de la Ceramica,"Villarreal, Spain",
Round 31,22/06/20,Leganés,0.0,4.0,0.0,0.0,Granada,0.0,4.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio Municipal de Butarque,"Leganes, Spain",
Round 31,23/06/20,Levante,0.0,4.0,0.0,0.0,Atl. Madrid,1.0,2.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,Estadio Camilo Cano,"La Nucía, Spain",
Round 31,23/06/20,Real Valladolid,1.0,5.0,0.0,0.0,Getafe,1.0,2.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,José Zorrilla,"Valladolid, Spain",
Round 31,23/06/20,Barcelona,1.0,2.0,0.0,0.0,Athletic Club,0.0,1.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,Spotify Camp Nou,"Barcelona, Spain",
Round 31,24/06/20,Alavés,0.0,2.0,0.0,0.0,Osasuna,1.0,3.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 31,24/06/20,Real Sociedad,0.0,4.0,0.0,0.0,Celta,1.0,2.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Reale Arena,"San Sebastian, Spain",
Round 31,24/06/20,Real Madrid,2.0,4.0,0.0,0.0,Mallorca,0.0,2.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 31,25/06/20,Eibar,1.0,4.0,0.0,0.0,Valencia,0.0,1.0,0.0,1.0,Santiago Jaime Latre,5.58,0.22,Ipurua Municipal Stadium,"Eibar, Spain",
Round 31,25/06/20,Betis,1.0,4.0,0.0,0.0,Espanyol,0.0,4.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Benito Villamarin,"Seville, Spain",
Round 30,19/06/20,Granada,0.0,0.0,0.0,0.0,Villarreal,1.0,3.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 30,19/06/20,Mallorca,1.0,3.0,0.0,0.0,Leganés,1.0,7.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Estadi de Son Moix,"Palma, Spain",
Round 30,19/06/20,Sevilla,0.0,3.0,0.0,0.0,Barcelona,0.0,2.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 30,20/06/20,Espanyol,1.0,2.0,0.0,0.0,Levante,3.0,0.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,RCDE Stadium,"Cornella, Spain",
Round 30,20/06/20,Athletic Club,1.0,4.0,0.0,0.0,Betis,0.0,0.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,San Mamés,"Bilbao, Spain",
Round 30,20/06/20,Getafe,1.0,3.0,0.0,0.0,Eibar,1.0,0.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 30,20/06/20,Atl. Madrid,1.0,4.0,0.0,0.0,Real Valladolid,0.0,2.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Cívitas Metropolitano,"Madrid, Spain",
Round 30,21/06/20,Celta,6.0,1.0,0.0,0.0,Alavés,0.0,1.0,1.0,0.0,Adrian Cordero Vega,5.32,0.22,Municipal de Balaidos,"Vigo, Spain",
Round 30,21/06/20,Valencia,2.0,1.0,0.0,0.0,Osasuna,0.0,2.0,0.0,0.0,David Medie Jimenez,4.94,0.31,Mestalla,"Valencia, Spain",
Round 30,21/06/20,Real Sociedad,1.0,5.0,0.0,0.0,Real Madrid,2.0,2.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Reale Arena,"San Sebastian, Spain",
Round 29,15/06/20,Levante,1.0,1.0,0.0,0.0,Sevilla,1.0,1.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Estadio Camilo Cano,"La Nucía, Spain",
Round 29,15/06/20,Betis,2.0,2.0,0.0,0.0,Granada,2.0,4.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Benito Villamarin,"Seville, Spain",
Round 29,16/06/20,Getafe,0.0,3.0,0.0,0.0,Espanyol,0.0,2.0,1.0,0.0,José Luis Munuera Montero,4.75,0.37,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 29,16/06/20,Villarreal,1.0,3.0,0.0,0.0,Mallorca,0.0,4.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",
Round 29,16/06/20,Barcelona,2.0,5.0,0.0,0.0,Leganés,0.0,3.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Spotify Camp Nou,"Barcelona, Spain",
Round 29,17/06/20,Eibar,2.0,3.0,0.0,0.0,Athletic Club,2.0,2.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Ipurua Municipal Stadium,"Eibar, Spain",
Round 29,17/06/20,Real Valladolid,0.0,3.0,0.0,0.0,Celta,0.0,3.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,José Zorrilla,"Valladolid, Spain",
Round 29,17/06/20,Osasuna,0.0,3.0,0.0,0.0,Atl. Madrid,5.0,3.0,0.0,0.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio El Sadar,"Pamplona, Spain",
Round 29,18/06/20,Alavés,2.0,2.0,0.0,1.0,Real Sociedad,0.0,3.0,0.0,1.0,Santiago Jaime Latre,5.58,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 29,18/06/20,Real Madrid,3.0,0.0,0.0,0.0,Valencia,0.0,2.0,1.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 28,11/6/2020,Sevilla,2.0,0.0,0.0,0.0,Betis,0.0,2.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 28,12/6/2020,Granada,2.0,6.0,0.0,0.0,Getafe,1.0,4.0,0.0,0.0,David Medie Jimenez,4.94,0.31,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 28,12/6/2020,Valencia,1.0,1.0,0.0,0.0,Levante,1.0,3.0,0.0,1.0,Antonio Alberola Rojas,3.75,0.25,Mestalla,"Valencia, Spain",
Round 28,13/06/20,Espanyol,2.0,4.0,0.0,0.0,Alavés,0.0,3.0,1.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,RCDE Stadium,"Cornella, Spain",
Round 28,13/06/20,Celta,0.0,1.0,0.0,0.0,Villarreal,1.0,1.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,Municipal de Balaidos,"Vigo, Spain",
Round 28,13/06/20,Leganés,1.0,2.0,0.0,0.0,Real Valladolid,2.0,4.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadio Municipal de Butarque,"Leganes, Spain",
Round 28,13/06/20,Mallorca,0.0,1.0,0.0,0.0,Barcelona,4.0,2.0,0.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Estadi de Son Moix,"Palma, Spain",
Round 28,14/06/20,Athletic Club,1.0,3.0,0.0,0.0,Atl. Madrid,1.0,0.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,San Mamés,"Bilbao, Spain",
Round 28,14/06/20,Real Madrid,3.0,1.0,0.0,0.0,Eibar,1.0,1.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 28,14/06/20,Real Sociedad,1.0,1.0,0.0,0.0,Osasuna,1.0,3.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Reale Arena,"San Sebastian, Spain",
Round 27,6/3/2020,Alavés,1.0,5.0,0.0,0.0,Valencia,1.0,3.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",14083.0
Round 27,7/3/2020,Eibar,1.0,6.0,0.0,0.0,Mallorca,2.0,3.0,0.0,0.0,Javier Estrada Fernandez,5.38,0.25,Ipurua Municipal Stadium,"Eibar, Spain",6110.0
Round 27,7/3/2020,Atl. Madrid,2.0,2.0,0.0,0.0,Sevilla,2.0,4.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Cívitas Metropolitano,"Madrid, Spain",60422.0
Round 27,7/3/2020,Barcelona,1.0,4.0,0.0,0.0,Real Sociedad,0.0,3.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Spotify Camp Nou,"Barcelona, Spain",77035.0
Round 27,7/3/2020,Getafe,0.0,5.0,0.0,1.0,Celta,0.0,5.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",11286.0
Round 27,8/3/2020,Osasuna,1.0,3.0,0.0,0.0,Espanyol,0.0,2.0,0.0,1.0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio El Sadar,"Pamplona, Spain",15737.0
Round 27,8/3/2020,Real Valladolid,1.0,1.0,0.0,0.0,Athletic Club,4.0,2.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,José Zorrilla,"Valladolid, Spain",21632.0
Round 27,8/3/2020,Levante,1.0,3.0,0.0,0.0,Granada,1.0,3.0,0.0,0.0,Eduardo Prieto Iglesias,4.81,0.21,Ciudad de Valencia,"Valencia, Spain",16168.0
Round 27,8/3/2020,Villarreal,1.0,4.0,0.0,0.0,Leganés,2.0,3.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Estadio de la Ceramica,"Villarreal, Spain",16143.0
Round 27,8/3/2020,Betis,2.0,1.0,0.0,0.0,Real Madrid,1.0,1.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Benito Villamarin,"Seville, Spain",51521.0
Round 26,28/02/20,Real Sociedad,1.0,1.0,0.0,0.0,Real Valladolid,0.0,1.0,0.0,0.0,Valentin Pizarro Gomez,5.04,0.33,Reale Arena,"San Sebastian, Spain",30611.0
Round 26,29/02/20,Eibar,3.0,3.0,0.0,0.0,Levante,0.0,2.0,0.0,0.0,Pablo Gonzales Fuertes,5.91,0.37,Ipurua Municipal Stadium,"Eibar, Spain",5920.0
Round 26,29/02/20,Valencia,2.0,2.0,0.0,0.0,Betis,1.0,3.0,0.0,0.0,Adrian Cordero Vega,5.32,0.22,Mestalla,"Valencia, Spain",37418.0
Round 26,29/02/20,Leganés,1.0,3.0,0.0,0.0,Alavés,1.0,3.0,0.0,0.0,Juan Martinez Munuera,4.9,0.19,Estadio Municipal de Butarque,"Leganes, Spain",10043.0
Round 26,29/02/20,Granada,0.0,3.0,0.0,0.0,Celta,0.0,5.0,0.0,0.0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",15877.0
Round 26,1/3/2020,Sevilla,3.0,2.0,0.0,0.0,Osasuna,2.0,2.0,1.0,0.0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",31382.0
Round 26,1/3/2020,Athletic Club,1.0,6.0,0.0,0.0,Villarreal,0.0,6.0,0.0,0.0,David Medie Jimenez,4.94,0.31,San Mamés,"Bilbao, Spain",36350.0
Round 26,1/3/2020,Espanyol,1.0,3.0,0.0,0.0,Atl. Madrid,1.0,4.0,0.0,0.0,Javier Alberola Rojas,3.7,0.15,RCDE Stadium,"Cornella, Spain",30360.0
Round 26,1/3/2020,Mallorca,0.0,3.0,0.0,1.0,Getafe,1.0,5.0,0.0,0.0,Mario Melero Lopez,5.55,0.21,Estadi de Son Moix,"Palma, Spain",14241.0
Round 26,1/3/2020,Real Madrid,2.0,2.0,0.0,0.0,Barcelona,0.0,2.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Santiago Bernabéu,"Madrid, Spain",78357.0
Round 25,21/02/20,Betis,3.0,2.0,0.0,0.0,Mallorca,3.0,1.0,0.0,0.0,Jesus Gil Manzano,5.27,0.26,Benito Villamarin,"Seville, Spain",47231.0
Round 25,22/02/20,Celta,1.0,2.0,1.0,0.0,Leganés,0.0,3.0,0.0,0.0,José Luis Munuera Montero,4.75,0.37,Municipal de Balaidos,"Vigo, Spain",19335.0
Round 25,22/02/20,Barcelona,5.0,0.0,0.0,0.0,Eibar,0.0,2.0,0.0,0.0,Cesar Soto Grado,5.5,0.2,Spotify Camp Nou,"Barcelona, Spain",66970.0
Round 25,22/02/20,Real Sociedad,3.0,1.0,0.0,0.0,Valencia,0.0,1.0,0.0,0.0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Reale Arena,"San Sebastian, Spain",31381.0
Round 25,22/02/20,Levante,1.0,1.0,0.0,0.0,Real Madrid,0.0,2.0,0.0,0.0,Alejandro Hernandez,5.51,0.27,Ciudad de Valencia,"Valencia, Spain",23566.0
Round 25,23/02/20,Osasuna,0.0,3.0,0.0,0.0,Granada,3.0,1.0,0.0,0.0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio El Sadar,"Pamplona, Spain",14866.0
Round 25,23/02/20,Alavés,2.0,4.0,0.0,0.0,Athletic Club,1.0,4.0,0.0,0.0,Antonio Mateu Lahoz,5.18,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19412.0
